CITY_NAME
Sam Chuk
Mae Sot
Mueang Sukhothai
Hat Samran
Ban Na Doem
Na Di
Ko Chan
Nong Han
Phayu
Nong Ya Sai
Bang Ban
Phipun
Warin Chamrap
Samrong Thap
Phon Na Kaeo
Bang Rachan
Ko Kut
Mae Ramat
Yan Ta Khao
Nakhon Pathom
Sak Lek
Phra Pradaeng
Krasang
Sriracha
Pak Tho
Mueang Yasothon
Kham Khuean Kaeo
Bang Pla Ma
Mueang Phuket
Mueang Buriram
Nam Phong
Nong Kung Sri
Khemarat
Pak Thong Chai
Buriram
Bang Nam Priao
Manorom
Sankhaburi
Krung Thep Maha Nakhon
Dusit
Khan Na Yao
Pom Prap Sattru Phai
Phetchaburi
Khlong San
Nong Suea
Mueang Phrae
Bua Yai
Nikhom Kham Soi
Nong Sung
Ban Phraek
Phayuha Khiri
Phu Ruea
Wang Chan
Mae Ai
Noen Sa-nga
Sa Bot
Phon Charoen
Mueang Prachin Buri
Prachantakham
Chun
Thung Chang
Mae La Noi
Mueang Udon Thani
Damnoen Saduak
Ratchathewi
Wang Thonglang
Bang Khun Thian
Thung Khru
Phana
Non Thai
Sikhio
Kuchinarai
Mae Poen
Wat Phleng
Wiset Chai Chan
Khao Khitchakut
Phanom Sarakham
Khok Charoen
Kosamphi Nakhon
Sakhrai
Chaloem Phra Kiat
Ban Phai
Chum Phae
Waeng Noi
Phrao
Kaeng Krachan
Chiang Kham
Chiang Muan
Ban Na
Ban Thi
Khun Tan
Mae Suai
Wiang Kaen
Mae Lan
Tak Bai
Sichon
Thung Yai
Lamae
Ku Kaeo
Phibun Rak
Sang Khom
Kut Bak
Bang Khonthi
Wang Sombun
Si Satchanalai
Palian
Wang Wiset
Thepharak
Phak Hai
San Pa Tong
Mueang Kamphaeng Phet
Wat Sing
Chiang Klang
Mae Charim
Mae Chan
Pa Daet
Mueang Ranong
La-un
Takua Pa
Thai Mueang
Khok Pho
Mai Kaen
Rueso
Bang Khan
Mueang Krabi
Mueang Samut Prakan
Khong Chiam
Nong Wua So
Pho Chai
Sawang Arom
Don Phut
Khok Si Suphan
Tao Ngoi
Ranot
Rattaphum
Kabang
Mueang Si Sa Ket
Dan Chang
Amphawa
Tha Pla
Si Nakhon
Ko Samui
Phanom
Thung Wa
Suk Samran
Mueang Uthai Thani
Than To
Mueang Trat
Ubolratana
Pang Sila Thong
Phu Kamyao
Chiang Saen
Kra Buri
Yarang
Khlong Thom
Wang Sam Mo
Sikhoraphum
Mueang Saraburi
Mueang Yala
Umphang
Ko Pha-ngan
Bangkok
Lat Lum Kaeo
Pak Kret
Sai Noi
Rong Kwang
Bang Pahan
Yang Chum Noi
Si Somdet
Mueang Pathum Thani
Krathum Baen
Yang Talat
Warin Chamrab
Pho Sai
Sai Mun
Sung Noen
Nakhon Ratchasima
Charoen Sin
Lat Krabang
Non Daeng
Kham Sakaesaeng
Chiang Khan
Chom Thong
Vadhana
Thawi Watthana
Pran Buri
Huai Thalaeng
Changhan
Sahatsakhan
Sam Chai
Somdet
Nakhon Luang
Mueang Ratchaburi
Samko
Phu Kradueng
Tha Li
Borabue
Chiang Yuen
Khao Chamao
Klaeng
Tha Takiap
Samoeng
Kamphaeng Saen
Thong Pha Phum
Khun Han
Thung Khao Luang
Bang Pakong
Phayakkhaphum Phisa
Bua Lai
Phra Thong Kham
Kao Liao
Laem Sing
Mueang Chachoengsao
Khon Sawan
Sap Yai
Chai Badan
Sai Ngam
Sai Thong Watthana
Phon Phisai
Na Wa
Mueang Nakhon Pathom
Don Tum
Bo Phloi
Lao Khwan
Wiang Nong Long
Sankampang
Sam Roi Yot
Kaset Sombun
Ban Laem
Na Thom
Phon Sawan
Bung Khla
Nakhon Thai
Lat Yao
Mae Lao
Thoeng
Wiang Pa Pao
Cho-airong
Na Bon
Nuea Khlong
Plai Phraya
Phato
Maha Chana Chai
Thawat Buri
Sao Hai
Waritchaphum
Krong Pinang
Khukhan
Bo Rai
Khao Chakan
Kham Thale So
Mueang Roi Et
Nong Na Kham
Makham
Ban Chang
San Kamphaeng
Thalang
Si Thep
Pong
Phan
Phaya Mengrai
Wiang Chiang Rung
Kapho
Sukhirin
Mueang Nakhon Si Thammarat
Nopphitam
Kumphawapi
Non Sa-at
Nong Chang
Wanon Niwat
Sadao
Khai Bang Rachan
Mueang Uttaradit
Ban Ta Khun
Phunphin
Phu Wiang
Na Muen
Yaha
Laplae
Tha Phae
Pakham
Nong Bua Rawe
Khlong Lan
Si Songkhram
Takua Thung
Mueang Pattani
Bacho
Ron Phibun
Lang Suan
Ban Phaeo
Watthana Nakhon
Sam Ngao
Ongkharak
Na Noi
Wiang Sa
Sila Lat
Thoen
Thonburi
"Thanyaburi,"
Nong Ki
Bang Saphan
Mueang Suphanburi 
Pa Tio
Soeng Sang
Bang Na
Nong Suea 
Mueang Mukdahan
Na Yai Am
Mueang Samut Songkam
Mueang Sing Buri
Mueang Ang Thong
Hat Yai
Phra Nakhon
Yan Nawa
Huai Phueng
Khok Sung
Mueang Nonthaburi
Song
Hua Hin
Ban Kruat
Chamni
Phlapphla Chai
Satuek
Chum Phuang
Phimai
At Samat
Chaturaphak Phiman
Mueang Kalasin
Uthai
Pha Khao
Mueang Maha Sarakham
Wiang Kao
Nikhom Phatthana
Fang
Mae Rim
Lan Krabue
Nakhon Chai Si
Mae Phrik
Bang Khen
Yang Si Surat
Prawet
Chonburi
Bang Kapi
Lam Plai Mat
Lat Bua Luang
Krok Phra
Kaeng Hang Maeo
Ban Khai
Chai Prakan
Chiang Dao
Pho Prathap Chang
Bamnet Narong
Pho Tak
Phan Thong
Khao Kho
Wang Pong
Mueang Mae Hong Son
Thung Hua Chang
Nong Hin
Mueang Nakhon Sawan
Non Din Daeng
Phran Kratai
Bang Len
Phu Luang
Wang Nuea
Kong Ra
Khura Buri
Bang Sao Thong
Don Mot Daeng
Kho Wang
Kut Chum
Kaset Wisai
Suwannaphum
Non Narai
Nong Khae
Pho Si Suwan
Aranyaprathet
Fak Tha
Mueang Trang
Chum Ta Bong
Chuen Chom
Kantharawichai
Mueang Khon Kaen
Khao Yoi
Bueng Samakkhi
Na Wang
Si Bun Rueang
Ban Phaeng
Mueang Bueng Kan
Pak Khat
Si Racha
Chae Hom
Mae Fa Luang
Si Banphot
Tamot
Thap Put
Thai Charoen
Sangkha
Tha Tum
Bang Klam
Krasae Sin
Benchalak
Rasi Salai
Ratsada
Khiri Rat Nikhom
Phrasaeng
Manang
Mueang Narathiwat
Chawang
Betong
Thung Fon
Kham Ta Kla
Mueang Songkhla
Ban Fang
Hot
Rattanawapi
So Phisai
Ko Kha
Nong Chik
Ra-ngae
Nong Saeng
Ban Muang
Khao Saming
Khlong Yai
Phichai
Mueang Tak
Chai Buri
Don Sak
